coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
VerusCoin,https://verus.io,168.119.27.244,AS24940 Hetzner Online GmbH,Nürnberg,DE,Bavaria,"49.4542,11.0775",90402,Europe/Berlin,Error,static.244.27.119.168.clients.your-server.de,
Waltonchain,https://www.waltonchain.org,163.181.64.230,"AS24429 Zhejiang Taobao Network Co.,Ltd",São Paulo,BR,São Paulo,"-23.5475,-46.6361",01000-000,America/Sao_Paulo,Error,,
Lynx,https://getlynx.io,104.21.95.111,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Cortex,http://www.cortexlabs.ai,185.203.72.17,AS42240 Variti International GmbH,Zug,CH,Zug,"47.1724,8.5175",6300,Europe/Zurich,Error,,
LQX Coin,https://lqxcoin.com,104.21.57.151,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Super Zero,https://sero.cash,104.21.43.145,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Vertcoin,http://vertcoin.org,5.196.74.100,AS16276 OVH SAS,Gravelines,FR,Hauts-de-France,"50.9865,2.1281",59820,Europe/Paris,Error,fr1.vtconline.org,
EarthCoin,http://earthcoin.io,13.248.216.40,"AS16509 Amazon.com, Inc.",Seattle,US,Washington,"47.6339,-122.3476",98109,America/Los_Angeles,,afdda383cf24ec8c3.awsglobalaccelerator.com,True
Grin,https://grin.mw,185.199.108.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-108-153.github.com,True
Metaverse,https://mvs.org,172.67.172.36,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
United Bitcoin,https://www.ub.com,18.224.45.92,"AS16509 Amazon.com, Inc.",Hilliard,US,Ohio,"40.0334,-83.1582",43026,America/New_York,Error,ec2-18-224-45-92.us-east-2.compute.amazonaws.com,
Electronero Pulse,http://electroneropulse.org,172.67.207.37,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
TecraCoin,https://tecracoin.io,95.216.11.50,AS24940 Hetzner Online GmbH,Tuusula,FI,Uusimaa,"60.3540,24.9794",04360,Europe/Helsinki,Error,static.50.11.216.95.clients.your-server.de,
Dero,https://dero.io,190.2.135.219,AS49981 WorldStream B.V.,Naaldwijk,NL,South Holland,"51.9942,4.2097",2671,Europe/Amsterdam,Error,customer.worldstream.nl,
Dynamic,https://duality.solutions,172.67.163.110,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Turtlecoin,https://turtlecoin.lol,185.199.108.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-108-153.github.com,True
Namecoin,https://namecoin.info,91.219.237.223,AS56322 ServerAstra Kft.,Nemesvámos,HU,Veszprém,"47.0551,17.8748",8248,Europe/Budapest,Error,sa1541.azar-a.net,
